Data set,Top 500 Topic Clusters by Scholarly Output
Entity,"National Cheng Kung University"
Year range,2013 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,8 March 2019
Date exported,8 April 2019

,,At this Institution,,,,Worldwide
Topic Cluster,Topic Cluster Number,Scholarly Output,Publication share (%),Growth (%),Field-Weighted Citation Impact,Prominence percentile
"Optical Tomography; Photoacoustic Effect; Tomography",TC.398,41,0.29,-59.5,0.54,80.455
"Cracks; Stress Intensity Factors; Crack Propagation",TC.303,41,0.38,-25.9,0.34,61.312
"Classification (Of Information); Learning Systems; Algorithms",TC.195,41,0.16,-20.5,1.06,88.487
"Remote Sensing; Image Classification; Satellite Imagery",TC.153,41,0.14,-38.0,0.87,95.114
"Buildings; Air Conditioning; Ventilation",TC.176,41,0.15,-66.8,0.46,95.248
"Helicobacter Pylori; Gastroesophageal Reflux; Helicobacter Infections",TC.90,41,0.22,87.6,1.4,85.944
"Database Systems; Ontology; Query Processing",TC.143,41,0.15,28.7,0.49,86.881
"Statistical Process Control; Flowcharting; Fits And Tolerances",TC.898,40,0.71,-71.5,0.77,35.743
"Buckling; Vibration Analysis; Functionally Graded Materials",TC.240,40,0.28,-41.2,0.89,81.861
"T-Lymphocytes; Neoplasms; Immunotherapy",TC.12,40,0.08,75.7,2.7,99.665
"Discharge; Plasma Applications; Plasma Jets",TC.184,40,0.26,1.3,0.53,83.534
"Obesity; Motor Activity; Child",TC.18,39,0.07,-62.2,1.2,99.197
"Pervasive Child Development Disorders; Autistic Disorder; Child",TC.139,38,0.16,32.0,1.11,93.976
"Biodiesel; Diesel Engines; Engine Cylinders",TC.165,37,0.16,-38.7,1.68,93.909
"Roofs; Heat Island; Buildings",TC.622,37,0.37,-20.4,1.06,84.404
"Hydroxyapatite; Calcium Phosphate; Scaffolds",TC.247,37,0.21,-66.9,0.77,93.507
"Location; Algorithms; Wi-Fi",TC.643,37,0.3,-51.0,1.05,70.683
"Non-Small-Cell Lung Carcinoma; Lung Neoplasms; Patients",TC.124,37,0.13,-32.0,5.12,95.582
"Tooth; Bone And Bones; Dentin",TC.14,37,0.08,-66.3,0.84,94.378
"Fishes; Fish Diseases; Aquaculture",TC.487,37,0.49,2.4,0.93,73.092
"Parkinson Disease; Deep Brain Stimulation; Patients",TC.102,37,0.14,9.2,0.66,95.85
"Electrocardiography; Heart; Monitoring",TC.792,36,0.42,-51.1,1.43,61.78
"Concretes; Compressive Strength; Cements",TC.68,36,0.09,57.0,0.8,97.122
"Decision Making; Fuzzy Sets; Models",TC.211,36,0.18,-77.5,0.98,88.621
"Nanoparticles; Metal Nanoparticles; Nanostructures",TC.700,35,0.26,-10.6,2.17,94.98
"Disasters; Floods; Risks",TC.438,35,0.23,-68.5,0.4,83.467
"Sensors; Accelerometers; Smartphones",TC.880,35,0.35,-63.4,1.27,69.813
"Cholesterol; Lipids; Atherosclerosis",TC.79,35,0.15,24.0,1.55,94.444
"Students; Teacher; Learning",TC.337,35,0.26,29.1,3.3,70.348
"DNA Repair; DNA Damage; Neoplasms",TC.104,35,0.18,-11.8,0.84,93.574
"Schizophrenia; Psychotic Disorders; Antipsychotic Agents",TC.80,35,0.15,-21.3,0.65,92.236
"MEMS; Gyroscopes; Resonators",TC.246,34,0.21,-80.7,0.47,78.983
"Scheduling; Algorithms; Optimization",TC.192,34,0.18,-52.2,0.59,83.199
"Tourism; Tourists; Destination",TC.239,34,0.18,4.0,1.28,85.743
"Electromigration; Atomic Layer Deposition; Thin Films",TC.849,33,0.84,-0.8,0.36,43.842
"Semiconductor Quantum Dots; Semiconductor Quantum Wells; Gallium Arsenide",TC.59,33,0.18,-43.0,0.37,86.412
"Aerosols; Air Quality; Atmospheric Aerosols",TC.42,33,0.11,-79.3,0.96,97.59
