Data set,Top 500 Topic Clusters by Scholarly Output
Entity,"University of Massachusetts"
Year range,2013 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,8 March 2019
Date exported,8 April 2019

,,At this Institution,,,,Worldwide
Topic Cluster,Topic Cluster Number,Scholarly Output,Publication share (%),Growth (%),Field-Weighted Citation Impact,Prominence percentile
"Liquid Crystals; Nematic Liquid Crystals; Liquid Crystal Displays",TC.220,21,0.18,84.3,2.09,81.325
"Education; Wages; Inequality",TC.657,21,0.25,35.3,1.58,59.973
"Fish; Brazil; Siluriformes",TC.730,21,0.44,107.9,0.99,43.641
"Models; Risks; Finance",TC.54,21,0.06,-47.6,1.19,90.027
"DNA Methylation; Epigenomics; Neoplasms",TC.478,20,0.14,151.8,1.6,91.968
"India; Indian; Politics",TC.475,20,0.19,197.4,0.61,34.137
"Proton Exchange Membrane Fuel Cells (PEMFC); Electrocatalysts; Electrolytic Reduction",TC.229,20,0.1,-58.0,1.74,96.988
"Pesticides; Pesticide Residues; Solid Phase Extraction",TC.404,20,0.17,140.6,2.19,92.169
"Anti-Bacterial Agents; Infection; Methicillin-Resistant Staphylococcus Aureus",TC.16,20,0.04,-64.4,2.12,98.26
"Data Envelopment Analysis; Banks; Efficiency",TC.384,20,0.15,-58.4,2.04,79.25
"Reinforced Concrete; Concretes; Steel",TC.137,20,0.07,94.0,0.91,89.224
"Chemical Sensors; Gas Detectors; Volatile Organic Compounds",TC.1062,19,0.33,34.8,4.53,71.821
"Weeds; Herbicides; Weed Control",TC.533,19,0.33,44.2,2.74,57.497
"Delivery Of Health Care; Patients; Hospitals",TC.160,19,0.09,-53.6,1.76,86.078
"Women; Erectile Dysfunction; Testosterone",TC.194,19,0.14,31.1,5.69,77.443
"Proteomics; Mass Spectrometry; Proteins",TC.227,19,0.12,-37.6,1.2,92.503
"Thermoelectricity; Thermoelectric Equipment; Thermal Conductivity",TC.619,19,0.18,119.6,1.13,89.558
"Cellulose; Lignin; Cellulases",TC.119,18,0.07,-34.1,1.48,98.126
"Fluorescence; Probes; Supramolecular Chemistry",TC.248,18,0.08,-58.2,0.88,97.992
"Buildings; Air Conditioning; Ventilation",TC.176,18,0.07,-6.6,1.8,95.248
"Care; Child; Child Welfare",TC.987,18,0.36,-41.4,0.86,38.487
"Cinema; African; Race",TC.442,18,0.22,26.7,1.33,19.076
"Polycystic Ovary Syndrome; Women; Oocytes",TC.253,17,0.13,12.1,1.44,77.711
"Knee; Osteoarthritis; Cartilage",TC.120,17,0.07,-17.3,1.53,91.566
"Endometriosis; Ovarian Neoplasms; Endometrial Neoplasms",TC.60,17,0.06,-37.0,2.26,90.361
"Synthetic Aperture Radar; Radar; Radar Imaging",TC.204,17,0.07,96.1,0.93,81.794
"T-Lymphocytes; Neoplasms; Immunotherapy",TC.12,17,0.03,-53.2,0.83,99.665
"Genome; Bacterial Typing Techniques; Vitamin K 2",TC.456,17,0.15,-100.0,0.97,80.656
"Polyurethanes; Shape Memory Effect; Epoxy Resins",TC.402,17,0.15,167.2,0.9,87.885
"Disinfection; Coagulation; Potable Water",TC.575,17,0.23,11.5,1.49,74.766
"Breast Neoplasms; Genetic Testing; Risk",TC.587,17,0.17,-17.5,2.71,80.991
"Soldering Alloys; Electronics Packaging; Soldering",TC.292,16,0.11,52.0,2.14,68.206
"Algorithms; Computer Graphics; Surfaces",TC.228,16,0.1,131.8,3.49,61.178
"Genome-Wide Association Study; Single Nucleotide Polymorphism; Genes",TC.592,16,0.16,-4.2,0.76,84.203
"Optimization; Algorithms; Evolutionary Algorithms",TC.259,16,0.08,11.1,2.07,82.195
"Turf Grasses; Cynodon Dactylon; Lawns And Turf",TC.1477,16,1.38,42.5,1.15,4.418
"Design; Human Computer Interaction; Augmented Reality",TC.231,16,0.07,-32.7,2.31,82.865
"Breast Neoplasms; Patients; Mammography",TC.89,16,0.06,22.8,0.86,90.897
"Rumen; Dairy Cows; Rumen Fermentation",TC.168,16,0.12,-54.0,2.39,76.305
"Chromatin; Histones; Epigenomics",TC.201,16,0.08,-100.0,1.1,96.653
"Cables; Circular Cylinders; Fluid Structure Interaction",TC.466,16,0.14,-69.3,1.55,53.681
"Publications; Periodicals As Topic; Research",TC.275,16,0.08,74.6,1.22,84.27
"Melatonin; Circadian Clocks; Circadian Rhythm",TC.396,16,0.2,109.0,0.77,79.451
