Data set,Top 500 Topic Clusters by Scholarly Output
Entity,"Instituto Tecnologico de Estudios Superiores de Monterrey"
Year range,2013 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,8 March 2019
Date exported,8 April 2019

,,At this Institution,,,,Worldwide
Topic Cluster,Topic Cluster Number,Scholarly Output,Publication share (%),Growth (%),Field-Weighted Citation Impact,Prominence percentile
"Rivers; Scour; Sediment Transport",TC.468,7,0.08,-100.0,0.08,67.671
"Injection Molding; Molds; Plastic Products",TC.1275,7,0.24,-,1.35,12.784
"Students; Teaching; Education; Computer Science",TC.559,7,0.07,-,0.97,53.414
"Data Storage Equipment; Program Processors; Applications",TC.92,7,0.02,4.9,0.37,81.928
"Teachers; Language; Student",TC.265,7,0.04,-100.0,0.42,73.36
"Saponins; Rhizome; Apoptosis",TC.1007,7,0.19,-,0.97,38.755
"Anti-Bacterial Agents; Infection; Methicillin-Resistant Staphylococcus Aureus",TC.16,7,0.02,-10.9,0.56,98.26
"Genome; Neoplasms; Genes",TC.436,7,0.05,27.9,1.81,94.043
"Water Distribution Systems; Water Supply Systems; Pipelines",TC.943,7,0.11,-100.0,1.08,50.736
"Semiconductor Quantum Dots; Semiconductor Quantum Wells; Gallium Arsenide",TC.59,7,0.04,23.6,0.38,86.412
"Students; Education; Teaching",TC.542,7,0.06,-55.7,0.55,74.833
"Attention; Brain; Learning",TC.10,7,0.02,-3.4,0.64,98.193
"Nanoparticles; Metal Nanoparticles; Nanostructures",TC.700,7,0.05,186.1,1.49,94.98
"Models; Social Networking (Online); Algorithms",TC.358,7,0.03,-,1.35,89.023
"Bacillus Thuringiensis; Aphidoidea; Aphids",TC.129,6,0.04,-,0.75,82.396
"Particulate Matter; Air Pollution; Air Pollutants",TC.431,6,0.05,-100.0,0.18,89.09
"Polynomials; Algebra; Algorithms",TC.1317,6,0.25,-100.0,1.56,4.618
"Space; Topological Space; Topology",TC.616,6,0.12,175.6,0.23,7.564
"Science; Risks; Nanotechnology",TC.550,6,0.06,-,3.6,71.687
"Spain; Spanish; Spanish Civil War",TC.887,6,0.09,-,0.21,13.922
"Silicon Solar Cells; Solar Cells; Silicon",TC.97,6,0.03,-100.0,1.25,88.889
"Heart-Assist Devices; Extracorporeal Membrane Oxygenation; Patients",TC.739,6,0.08,-63.2,1.84,66.198
"Taxes; Tax Evasion; Tax Compliance",TC.920,6,0.12,-55.1,0.11,28.916
"Insulin; Type 2 Diabetes Mellitus; Glucose",TC.46,6,0.02,-,0.86,97.724
"Reliability; Maintenance; Reliability Analysis",TC.353,6,0.04,-,0.75,68.407
"Circuit Resonance; Magnetic Resonance; Stochastic Systems",TC.1125,6,0.18,11.9,0.8,31.124
"Mesenchymal Stromal Cells; Stem Cells; Induced Pluripotent Stem Cells",TC.163,6,0.02,-74.7,0.57,97.657
"Robots; Robotics; Human Robot Interaction",TC.591,6,0.05,-13.9,1.34,67.001
"Ozonization; Degradation; Wastewater Treatment",TC.206,6,0.02,-,2.77,98.728
"Reservoirs (Water); Oil Well Flooding; Hydraulic Fracturing",TC.164,6,0.02,-,1.73,84.07
"Biodiesel; Diesel Engines; Engine Cylinders",TC.165,6,0.03,68.5,0.93,93.909
"Biosensors; Electrodes; Voltammetry",TC.128,6,0.02,-,0.5,98.996
"Wastes; Solid Wastes; Municipal Solid Waste",TC.703,6,0.07,-,0.47,79.719
"Graphene; Carbon Nanotubes; Nanotubes",TC.22,6,0.01,-,0.75,99.866
"MicroRNAs; Long Untranslated RNA; Neoplasms",TC.219,6,0.01,-100.0,1.03,99.398
"International Law; Human Rights; Responsibility",TC.363,6,0.05,-9.7,0.05,33.802
"Muslims; Islamic Finance; Islamic Banking",TC.1290,6,0.16,-,0.65,28.38
"Cloud Computing; Clouds; Distributed Computer Systems",TC.70,6,0.01,227.3,1.91,93.173
"Salmonella; Escherichia Coli; Listeria Monocytogenes",TC.40,6,0.02,-,0.89,93.641
"Tuberculosis; Mycobacterium Tuberculosis; Multidrug-Resistant Tuberculosis",TC.72,6,0.02,-4.5,0.27,91.232
"Thermal Barrier Coatings; Sprayed Coatings; Plasma Spraying",TC.534,6,0.07,-100.0,0.45,67.336
"Additives; Manufacture; Printing",TC.609,6,0.05,-77.2,1.06,91.767
"Estimator; Models; Variable Selection",TC.74,6,0.02,-,0.69,83.601
"Electric Power Transmission Networks; Wind Power; Electric Power Distribution",TC.28,6,0.01,-62.6,0.48,99.13
"Sarcopenia; Patients; Aged",TC.782,6,0.06,-,1.07,82.129
"Chromatography; Liquid Chromatography; Column Chromatography",TC.376,6,0.08,121.2,0.65,73.561
"Greenhouses; Tomatoes; Plants",TC.603,6,0.1,-100.0,0.41,52.41
"Volatile Oils; Antioxidants; Oils",TC.366,6,0.05,18.0,1.17,85.542
"Hydroxyapatite; Calcium Phosphate; Scaffolds",TC.247,6,0.03,-7.4,4.26,93.507
"Teacher; School; Education",TC.150,5,0.02,-100.0,0.46,74.967
"Agents; Multi Agent Systems; Models",TC.521,5,0.07,-100.0,2.27,39.224
"Electronic Health Records; Medical Informatics; Delivery Of Health Care",TC.346,5,0.04,-,0.65,71.419
"Patents; Copyright; Intellectual Property",TC.586,5,0.07,125.0,1.32,28.715
